token	frequency	label	llm_reason	example_sentence_used
nahi	1592	HINGLISH	The token 'nahi' is a common Romanized Hindi word meaning 'no' or 'not'.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
bhi	1588	HINGLISH	The token 'bhi' is a Hindi word meaning 'also', commonly used in Romanized Hindi/Hinglish code-mixed text.	MohitParmarr ye kaun se channel par aur kab aata hai? Batao, zara hum bhi toh dekhe!
ye	1013	HINGLISH	The word 'ye' means 'this' or 'these' in Hindi, used consistently as a demonstrative pronoun in Romanized Hindi/Hinglish contexts.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
mein	633	HINGLISH	The token 'mein' means 'in' in Romanized Hindi/Urdu across all provided code-mixed examples.	slimswamy yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hain. Context: …
aaj	506	HINGLISH	The word 'aaj' is a standard Romanized Hindi word meaning 'today'.	tum ye karoge mere saath? Maine aaj tak tumhe kuch ulta bhi kahan hai? Hadh hoti hai
kuch	457	HINGLISH	The token 'kuch' is a common Romanized Hindi word meaning 'some' or 'something'.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
raha	444	HINGLISH	The token 'raha' is a standard Hindi auxiliary verb used to indicate continuous tense (e.g., chal raha tha, jhaank raha tha).	Haan, uske khidki khuli thi jismein se baburao jhaank raha tha.
rt	440	ENGLISH	The token 'rt' is an abbreviation for 'retweet', commonly used in social media contexts across both English and Hinglish.	BrushUrTeeth_03 kya yaar. Mujhe bhi koi rt nahi karta.
liye	424	HINGLISH	The word 'liye' is a Hindi postposition meaning 'for' written in Roman script.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
and	384	ENGLISH	The word 'and' is a standard English conjunction used across all provided examples.	someUSER congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show . how
mujhe	354	HINGLISH	The word 'mujhe' is a Hindi pronoun meaning 'to me' or 'me', commonly used in Romanized Hindi/Hinglish.	Sorry, mujhe laga raat ke 11.30 baje hai.
of	352	ENGLISH	The word 'of' is a standard English preposition and is not part of Romanized Hindi/Hinglish vocabulary.	someUSER congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show . how
baat	340	HINGLISH	The token 'baat' means 'matter' or 'thing' in Hindi and is written in Romanized form (Hinglish) across all provided examples.	agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein . . . ?
