token	length	rows_containing_token
hai	3	3661
to	2	1892
ke	2	1604
ki	2	1571
se	2	1328
ka	2	1244
ho	2	1178
ko	2	1149
aur	3	1023
bhai	4	1023
ye	2	1013
hi	2	994
me	2	949
kar	3	927
kya	3	910
the	3	848
mein	4	633
ek	2	593
toh	3	546
is	2	544
ab	2	521
koi	3	468
in	2	447
na	2	443
rt	2	440
aap	3	433
ne	2	427
tha	3	408
par	3	404
i	1	396
and	3	384
a	1	365
ji	2	364
main	4	356
tu	2	356
pe	2	355
of	2	352
k	1	347
sab	3	338
sir	3	335
hain	4	318
aa	2	309
on	2	307
gaya	4	301
jo	2	294
for	3	290
do	2	287
hum	3	271
tum	3	256
h	1	252
you	3	245
gst	3	235
modi	4	234
mere	4	232
din	3	230
log	3	230
bas	3	229
de	2	229
le	2	219
ya	2	219
gaye	4	206
with	4	202
be	2	199
he	2	197
kyu	3	192
at	2	191
it	2	190
tak	3	186
wo	2	182
yeh	3	182
mat	3	180
time	4	177
this	4	174
hu	2	172
hua	3	167
wale	4	166
my	2	165
kal	3	164
thi	3	162
meri	4	161
so	2	160
u	1	158
dil	3	154
are	3	149
jab	3	149
but	3	143
or	2	141
har	3	136
mera	4	134
like	4	133
lag	3	127
was	3	126
that	4	124
agar	4	119
bol	3	118
day	3	117
haan	4	116
kam	3	112
lo	2	107
will	4	107
iss	3	106
mai	3	105
all	3	104
lol	3	104
up	2	104
not	3	103
good	4	101
have	4	100
no	2	100
from	4	97
mil	3	97
love	4	95
ban	3	93
out	3	91
best	4	88
may	3	88
one	3	88
use	3	88
wali	4	87
we	2	86
logo	4	85
by	2	84
jai	3	84
di	2	83
just	4	83
team	4	82
hue	3	78
fir	3	77
free	4	76
bada	4	75
bola	4	75
us	2	74
bana	4	73
bjp	3	72
ja	2	72
khan	4	72
tera	4	72
b	1	71
kr	2	71
as	2	70
game	4	70
hone	4	69
teri	4	69
i'm	3	68
maa	3	68
new	3	68
last	4	67
bar	3	66
go	2	66
if	2	66
n	1	66
nai	3	66
vote	4	64
band	4	63
it's	4	63
pm	2	62
ha	2	61
life	4	61
ni	2	61
what	4	61
beta	4	60
can	3	60
has	3	60
hui	3	60
m	1	58
now	3	58
haha	4	57
see	3	57
tab	3	57
tune	4	57
tv	2	56
bade	4	55
papa	4	55
too	3	55
dena	4	54
get	3	53
know	4	53
wait	4	53
your	4	52
r	1	51
news	4	49
its	3	48
more	4	48
muh	3	48
only	4	48
am	2	47
bad	3	47
bolo	4	47
ur	2	47
cup	3	46
jaye	4	46
mila	4	46
when	4	46
man	3	45
miss	4	45
sa	2	45
they	4	45
fan	3	44
naa	3	44
sun	3	44
film	4	43
mata	4	43
who	3	43
same	4	42
lena	4	41
make	4	41
mile	4	41
v	1	41
year	4	41
his	3	40
how	3	40
joke	4	40
naya	4	40
say	3	40
an	2	39
lagi	4	39
oh	2	39
pass	4	39
pls	3	39
ap	2	38
hey	3	38
live	4	38
pak	3	38
plz	3	38
vo	2	38
well	4	38
beer	4	37
come	4	37
line	4	37
ok	2	37
over	4	37
post	4	37
very	4	37
bat	3	36
girl	4	36
him	3	36
holi	4	36
hun	3	36
re	2	36
show	4	36
want	4	36
abe	3	35
bin	3	35
dost	4	35
mast	4	35
pic	3	35
rape	4	35
s	1	35
zara	4	35
back	4	34
roz	3	34
she	3	34
baba	4	33
call	4	33
her	3	33
jana	4	33
late	4	33
pr	2	33
big	3	32
fans	4	32
our	3	32
then	4	32
end	3	31
got	3	31
much	4	31
pad	3	31
yes	3	31
ball	4	30
dear	4	30
fake	4	30
mana	4	30
room	4	30
try	3	30
wish	4	30
mom	3	29
o	1	29
true	4	29
did	3	28
even	4	28
hume	4	28
ise	3	28
old	3	28
said	4	28
chai	4	27
cute	4	27
dp	2	27
g	1	27
god	3	27
help	4	27
hope	4	27
isi	3	27
jail	4	27
jan	3	27
om	2	27
puri	4	27
work	4	27
also	4	26
need	4	26
than	4	26
why	3	26
yar	3	26
any	3	25
baal	4	25
baby	4	25
bi	2	25
hit	3	25
mann	4	25
mar	3	25
mei	3	25
si	2	25
win	3	25
aam	3	24
book	4	24
boy	3	24
ham	3	24
here	4	24
hoon	4	24
lakh	4	24
next	4	24
ram	3	24
way	3	24
app	3	23
bus	3	23
d	1	23
days	4	23
done	4	23
link	4	23
off	3	23
per	3	23
plan	4	23
raj	3	23
run	3	23
some	4	23
tod	3	23
anna	4	22
been	4	22
cm	2	22
dar	3	22
date	4	22
had	3	22
hot	3	22
keep	4	22
li	2	22
name	4	22
nice	4	22
pi	2	22
play	4	22
rang	4	22
sar	3	22
song	4	22
via	3	22
boys	4	21
case	4	21
guru	4	21
jee	3	21
kara	4	21
most	4	21
side	4	21
yr	2	21
aye	3	20
ever	4	20
i'll	4	20
kon	3	20
look	4	20
ma	2	20
nov	3	20
part	4	20
rs	2	20
aya	3	19
bt	2	19
dm	2	19
dont	4	19
emo	3	19
full	4	19
govt	4	19
guy	3	19
home	4	19
jane	4	19
made	4	19
ndtv	4	19
note	4	19
open	4	19
real	4	19
star	4	19
tl	2	19
toss	4	19
used	4	19
uss	3	19
were	4	19
bill	4	18
iit	3	18
ipl	3	18
maja	4	18
p	1	18
pure	4	18
sat	3	18
says	4	18
take	4	18
tho	3	18
top	3	18
umar	4	18
vs	2	18
aj	2	17
amit	4	17
bc	2	17
card	4	17
down	4	17
du	2	17
eid	3	17
far	3	17
feb	3	17
gift	4	17
high	4	17
pan	3	17
scam	4	17
sure	4	17
babu	4	16
bank	4	16
dino	4	16
ga	2	16
gag	3	16
guys	4	16
hath	4	16
job	3	16
kai	3	16
long	4	16
luck	4	16
nd	2	16
pee	3	16
road	4	16
stay	4	16
army	4	15
bag	3	15
bare	4	15
bro	3	15
busy	4	15
car	3	15
copy	4	15
feel	4	15
hero	4	15
kay	3	15
kia	3	15
mind	4	15
omg	3	15
page	4	15
pas	3	15
seat	4	15
shri	4	15
tell	4	15
two	3	15
wah	3	15
wow	3	15
y	1	15
bowl	4	14
c	1	14
didi	4	14
face	4	14
gai	3	14
l	1	14
let	3	14
meet	4	14
pa	2	14
peg	3	14
pta	3	14
sari	4	14
set	3	14
shah	4	14
tax	3	14
test	4	14
won	3	14
_	1	13
abi	3	13
ache	4	13
ak	2	13
bane	4	13
boss	4	13
cant	4	13
door	4	13
e	1	13
exam	4	13
han	3	13
im	2	13
jal	3	13
kyo	3	13
list	4	13
many	4	13
mr	2	13
must	4	13
pet	3	13
rate	4	13
saab	4	13
shan	4	13
such	4	13
tag	3	13
talk	4	13
ad	2	12
atm	3	12
cc	2	12
dia	3	12
dr	2	12
fail	4	12
fast	4	12
fb	2	12
flop	4	12
hein	4	12
i've	4	12
kilo	4	12
la	2	12
lal	3	12
lets	4	12
maze	4	12
min	3	12
msg	3	12
once	4	12
porn	4	12
shiv	4	12
sona	4	12
soon	4	12
stop	4	12
them	4	12
un	2	12
week	4	12
yo	2	12
add	3	11
agr	3	11
bday	4	11
city	4	11
dutt	4	11
epic	4	11
gaon	4	11
give	4	11
gud	3	11
hair	4	11
half	4	11
idea	4	11
inn	3	11
jay	3	11
ker	3	11
lord	4	11
mean	4	11
men	3	11
mi	2	11
monk	4	11
q	1	11
rail	4	11
rona	4	11
sad	3	11
sale	4	11
sb	2	11
send	4	11
sher	4	11
shit	4	11
size	4	11
sone	4	11
t	1	11
ulta	4	11
yeah	4	11
😂	1	11
bcci	4	10
bike	4	10
chi	3	10
cool	4	10
der	3	10
dua	3	10
etc	3	10
find	4	10
haa	3	10
hall	4	10
head	4	10
hm	2	10
into	4	10
jb	2	10
join	4	10
kb	2	10
lane	4	10
pay	3	10
rah	3	10
ro	2	10
san	3	10
sara	4	10
site	4	10
sri	3	10
suit	4	10
till	4	10
visa	4	10
west	4	10
wifi	4	10
word	4	10
ac	2	9
age	3	9
ask	3	9
away	4	9
bach	4	9
body	4	9
bomb	4	9
buy	3	9
cut	3	9
dad	3	9
dude	4	9
ese	3	9
eve	3	9
fair	4	9
file	4	9
fine	4	9
form	4	9
fr	2	9
gale	4	9
gate	4	9
gay	3	9
gf	2	9
hara	4	9
hard	4	9
he's	4	9
hear	4	9
hell	4	9
hind	4	9
hy	2	9
j	1	9
kami	4	9
kat	3	9
kid	3	9
lost	4	9
luv	3	9
maha	4	9
nick	4	9
okay	4	9
pair	4	9
park	4	9
poor	4	9
read	4	9
red	3	9
sim	3	9
spam	4	9
sub	3	9
teen	4	9
toot	4	9
wife	4	9
york	4	9
air	3	8
ata	3	8
bf	2	8
bore	4	8
bye	3	8
da	2	8
dev	3	8
don	3	8
dur	3	8
gets	4	8
haq	3	8
hay	3	8
ind	3	8
jama	4	8
kids	4	8
ky	2	8
lga	3	8
lie	3	8
mark	4	8
mood	4	8
ms	2	8
prem	4	8
rai	3	8
raja	4	8
rok	3	8
rts	3	8
rule	4	8
rum	3	8
safe	4	8
tk	2	8
took	4	8
uhf	3	8
war	3	8
wide	4	8
ads	3	7
ali	3	7
anti	4	7
asia	4	7
ati	3	7
bali	4	7
bet	3	7
bit	3	7
both	4	7
cake	4	7
care	4	7
cash	4	7
club	4	7
dam	3	7
data	4	7
daya	4	7
desi	4	7
dis	3	7
fav	3	7
food	4	7
ge	2	7
gold	4	7
gone	4	7
gov	3	7
hate	4	7
hmm	3	7
ik	2	7
jain	4	7
jin	3	7
joe	3	7
jor	3	7
josh	4	7
jung	4	7
kick	4	7
king	4	7
left	4	7
mam	3	7
mang	4	7
pal	3	7
phd	3	7
pita	4	7
ppl	3	7
rest	4	7
rich	4	7
sake	4	7
sau	3	7
save	4	7
