token	label	method
hai	HINGLISH	override_hinglish
.	NON_LINGUISTIC	regex_prefilter
to	HINGLISH	override_hinglish
ke	HINGLISH	override_hinglish
nahi	UNCERTAIN_NEEDS_LLM	unresolved
bhi	UNCERTAIN_NEEDS_LLM	unresolved
ki	HINGLISH	override_hinglish
se	HINGLISH	override_hinglish
ka	HINGLISH	override_hinglish
ho	HINGLISH	override_hinglish
ko	HINGLISH	override_hinglish
aur	HINGLISH	override_hinglish
bhai	HINGLISH	override_hinglish
ye	UNCERTAIN_NEEDS_LLM	unresolved
hi	ENGLISH	wordnet_exact
me	AMBIGUOUS	override_ambiguous
kar	HINGLISH	override_hinglish
kya	HINGLISH	override_hinglish
the	AMBIGUOUS	override_ambiguous
,	NON_LINGUISTIC	regex_prefilter
hai.	NON_LINGUISTIC	regex_prefilter
mein	UNCERTAIN_NEEDS_LLM	unresolved
…	NON_LINGUISTIC	regex_prefilter
ek	HINGLISH	override_hinglish
?	NON_LINGUISTIC	regex_prefilter
:	NON_LINGUISTIC	regex_prefilter
toh	HINGLISH	override_hinglish
is	ENGLISH	wordnet_exact
!	NON_LINGUISTIC	regex_prefilter
ab	HINGLISH	override_hinglish
aaj	UNCERTAIN_NEEDS_LLM	unresolved
koi	HINGLISH	override_hinglish
kuch	UNCERTAIN_NEEDS_LLM	unresolved
in	ENGLISH	wordnet_exact
raha	UNCERTAIN_NEEDS_LLM	unresolved
na	HINGLISH	override_hinglish
rt	UNCERTAIN_NEEDS_LLM	unresolved
aap	HINGLISH	override_hinglish
ne	HINGLISH	override_hinglish
liye	UNCERTAIN_NEEDS_LLM	unresolved
tha	HINGLISH	override_hinglish
par	ENGLISH	wordnet_exact
i	ENGLISH	wordnet_exact
